beer,brewery,style,status
Collective Arts / Bellwoods Origin of Darkness,Collective Arts Brewing,Stout - Imperial Flavored / Pastry,regular
Great Lakes Brewery / Bar Hop Hanlan's Point,Great Lakes Brewery (Canada),Porter - Flavored,special seasonal
Bellwoods No Rest For The Wicked,Bellwoods Brewery,Sour / Wild Beer - Dark,regular
Flying Monkeys Division by Zero,Flying Monkeys Craft Brewery,Strong Ale - American,regular
Great Lakes Brewery HazeMama,Great Lakes Brewery (Canada),IPA - Hazy (NEIPA),regular
Barnstormer Flight Delay IPA,Barnstormer Brewing & Distilling Co.,IPA,regular
Black Creek Pioneer Harvest Pumpkin Ale,Black Creek Historic Brewery (All or Nothing Brewhouse),Flavored - Pumpkin / Vegetables,autumn seasonal
Creemore Springs Altbier,Creemore Springs Brewery (Six Pints - Molson Coors),Altbier / Sticke Alt,regular
Bellwoods Farmageddon (Batch 11+),Bellwoods Brewery,Sour / Wild Beer,regular
Labatt Maximum Ice,Labatt Brewing Company (Labatt - AB InBev),Malt Liquor,regular
Bellwoods Grizzly Beer,Bellwoods Brewery,Brown Ale,winter seasonal
Oast House The BarnRaiser,Oast House Brewers,Pale Ale - American (APA),regular
Nickel Brook Cuvée Reserve Ale (2015+),Nickel Brook Brewing Co.,Strong Ale - American,special seasonal
Bellwoods Monogamy (Brett Barrel Aged Centennial with Apricot & Peach),Bellwoods Brewery,IPA - Sour / Wild,series seasonal
Beau's Farm Table: 80 Shilling,Beau's Brewing Co. / Halcyon Barrel House,Scottish Ale,autumn seasonal
Bellwoods Runes (Citra & Mosaic),Bellwoods Brewery,IPA,regular
Wellington Arkell Best Bitter,Wellington Brewery (Canada),Bitter - Ordinary / Best,regular
Collective Arts IPA No. 14,Collective Arts Brewing,IIPA DIPA - Imperial / Double IPA,regular
Godspeed Otsukaresama - Filtered,Godspeed Brewery,Helles / Dortmunder Export,regular
Nickel Brook Green Apple Pilsener,Nickel Brook Brewing Co.,Flavored - Fruit,regular
Bellwoods Barn Owl (Blend No. 18),Bellwoods Brewery,Sour / Wild Beer - Flavored,regular
Beau's Quads & Rockers,Beau's Brewing Co. / Halcyon Barrel House,Quadrupel / Abt,regular
Flying Monkeys Invictus,Flying Monkeys Craft Brewery,Stout - Imperial,regular
Cameron's Captain's Log,Cameron's Brewing,Pale Lager - International / Premium,regular
Muskoka Shinnicked Stout,Muskoka Brewery,Stout,regular
Clifford Porter,Clifford Brewing Co.,Porter,regular
Collective Arts IPA No.  4,Collective Arts Brewing,IPA,autumn seasonal
Bellwoods Farmageddon with California Zinfandel Grapes,Bellwoods Brewery,Sour / Wild Beer - Flavored,series seasonal
KLB Raspberry Wheat Beer,Amsterdam Brewery,Flavored - Fruit,regular
Blood Brothers Paradise Lost: Guava,Blood Brothers Brewing,Sour / Wild Beer,regular
Great Lakes Brewery Beard of Zeus,Great Lakes Brewery (Canada),Barley Wine / Wheat Wine / Rye Wine,regular
Broadhead Dark Horse Stout,Broadhead Brewery,Stout,regular
